"Fterm","classlvl.x","cnt.x","1.x","2.x","3.x","4.x","g-p.x","master.x","Phd.x","spcl.x","new.x","cnt.y.x","1.y","2.y","3.y","4.y","g-p.y","master.y","Phd.y","spcl.y","new.y","cnt.y.y","FTDCU","Grad","Transfer"
1014,"3",8583,0.00011650937900501,0,0.672608644995922,0.300361179074916,0,0,0,0,308,8462,0,0,0.405223351453557,0.545024816828173,0.00153627983928149,0.000118175372252423,0,0,666,8938,6767,1564,1874
1014,"4",8883,0,0.000112574580659687,0.000337723741979061,0.788697512101767,0,0.00821794438815715,0,0,294,9889,0.00010112245929821,0,0.000606734755789261,0.429568207098797,0.00637071493578724,0.0754373546364648,0.00182020426736778,0.00020224491859642,236,9118,6767,1564,1874
1014,"g-p",1378,0,0,0,0,0.990566037735849,0,0,0,6,1371,0,0,0,0,0.757111597374179,0,0,0,261,1391,6767,1564,1874
1014,"master",5141,0.000194514685858782,0,0.000194514685858782,0.00155611748687026,0,0.786811904298775,0.0103092783505155,0,950,5100,0,0,0,0.00156862745098039,0.00156862745098039,0.576470588235294,0.0264705882352941,0,1674,5395,6767,1564,1874
1014,"Phd",2834,0,0,0,0,0,0.00917431192660551,0.903316866619619,0,158,2771,0,0,0,0,0.000721761097076868,0.00757849151930711,0.82713821725009,0,507,2954,6767,1564,1874
1014,"spcl",303,0.0099009900990099,0.0099009900990099,0.0033003300330033,0.0099009900990099,0,0.0165016501650165,0,0.518151815181518,149,306,0.0784313725490196,0.00980392156862745,0.0228758169934641,0.0294117647058824,0.00326797385620915,0.042483660130719,0.0065359477124183,0.245098039215686,217,295,6767,1564,1874
1024,"1",8860,0.74548532731377,0.202708803611738,0.000451467268623025,0,0,0,0,0,227,6841,0.204940798128929,0.70662183891244,0.00102324221605029,0,0.000146177459435755,0,0,0,7286,8706,6886,1690,1632
1024,"2",7986,0.000751314800901578,0.6587778612572,0.29351364888555,0,0,0,0,0,312,7371,0.000542667209333876,0.267806267806268,0.652150318816985,0.00122100122100122,0.000407000407000407,0,0,0,1080,7895,6886,1690,1632
1024,"3",8938,0,0.000111881852763482,0.670731707317073,0.296151264264936,0,0,0,0,266,8612,0.00011611704598235,0.0002322340919647,0.388411518810961,0.56967022758941,0.0016256386437529,0,0,0,601,8770,6886,1690,1632
1024,"4",9118,0.000109673173941654,0,0.000219346347883308,0.778898881333626,0,0.005703005044966,0.000109673173941654,0,296,10060,9.9403578528827e-05,0,0.000298210735586481,0.404473161033797,0.00646123260437376,0.0743538767395626,0.00119284294234592,0,251,9246,6886,1690,1632
1024,"g-p",1391,0,0,0,0.00215672178289001,0.98274622573688,0.00143781452192667,0,0,2,1369,0,0,0,0,0.739225712198685,0.00219138056975895,0.000730460189919649,0,275,1380,6886,1690,1632
1024,"master",5395,0,0,0,0.0020389249304912,0,0.799629286376274,0.00982391102873031,0.000185356811862836,956,5357,0.000186671644577189,0,0.000373343289154377,0.00149337315661751,0.00112002986746313,0.552174724659324,0.0255740153070749,0.000186671644577189,1562,5309,6886,1690,1632
1024,"Phd",2954,0,0,0,0,0,0.0104942450914015,0.902843601895735,0,142,2864,0,0,0,0,0.00104748603351955,0.0111731843575419,0.82018156424581,0,500,3000,6886,1690,1632
